Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.447	0.000000	0.000
FBtr0300738	2350	2179.017	0.261094	4.759
FBtr0300739	2172	2001.017	0.408855	6.844
FBtr0300737	2184	2013.017	0.359283	6.050
FBtr0300736	2338	2167.017	0.287283	5.208
FBtr0078628	2467	2296.017	0.234682	4.507
FBtr0300740	2479	2308.017	0.216443	4.179
FBtr0078627	2301	2130.017	0.307358	5.476
FBtr0300741	2313	2142.017	0.277780	4.977
FBtr0072762	889	718.242	68.418729	411.066
FBtr0346821	1270	1099.017	3.792164	34.862
FBtr0331460	900	729.242	0.292991	1.787
FBtr0303848	5005	4834.017	5.047833	204.117
FBtr0086122	1465	1294.017	0.831451	9.000
FBtr0335147	3125	2954.017	2.337281	57.755
FBtr0081459	3019	2848.017	19.327017	460.440
FBtr0305321	6523	6352.017	0.474520	25.213
FBtr0083716	5665	5494.017	14.965720	687.787
FBtr0078184	1305	1134.017	0.316254	3.000
FBtr0081691	765	594.324	0.000000	0.000
FBtr0085263	1228	1057.017	0.339292	3.000
FBtr0086342	492	321.459	0.000000	0.000
FBtr0086343	495	324.457	0.000000	0.000
FBtr0091847	1023	852.017	1.342691	9.570
FBtr0072393	1393	1222.017	76.712761	784.171
FBtr0343502	867	696.249	0.443099	2.581
FBtr0343753	3569	3398.017	3.734400	106.148
FBtr0433525	3725	3554.017	0.254357	7.562
FBtr0113895	961	790.213	22.885406	151.275
FBtr0345179	887	716.242	49.191538	294.725
FBtr0334135	4703	4532.017	0.322400	12.222
FBtr0334137	4561	4390.017	0.751776	27.607
FBtr0334141	5321	5150.017	0.211172	9.097
FBtr0334139	4203	4032.017	0.571434	19.273
FBtr0334140	5704	5533.017	0.174410	8.072
FBtr0344148	4894	4723.017	0.276985	10.943
FBtr0334142	5071	4900.017	0.245187	10.050
FBtr0334138	5563	5392.017	0.186317	8.404
FBtr0334136	3862	3691.017	1.241477	38.331
FBtr0085105	995	824.166	4.206464	29.000
FBtr0346720	2745	2574.017	0.000000	0.000
FBtr0076089	442	271.479	0.000000	0.000
FBtr0087500	1417	1246.017	8.730746	91.000
FBtr0073094	1694	1523.017	5.936297	75.629
FBtr0073093	1577	1406.017	75.448173	887.371
FBtr0343515	1092	921.017	0.240871	1.856
FBtr0072451	975	804.186	8.643387	58.144
FBtr0071607	2252	2081.017	2.929736	51.000
FBtr0081516	4704	4533.017	0.105489	4.000
FBtr0300749	931	760.240	2.529095	16.084
FBtr0346532	1185	1014.017	0.146866	1.246
FBtr0073076	880	709.244	59.949636	355.671
FBtr0089289	4677	4506.017	1.161322	43.774
FBtr0100448	4590	4419.017	1.814578	67.076
FBtr0089290	4681	4510.017	1.155921	43.609
FBtr0089288	4037	3866.017	7.598624	245.734
FBtr0100447	4417	4246.017	1.456479	51.731
FBtr0329933	4663	4492.017	1.212804	45.572
FBtr0336949	2826	2655.017	18.258077	405.498
FBtr0088786	1378	1207.017	68.626092	692.897
FBtr0088785	1869	1698.017	14.740990	209.380
FBtr0303077	607	436.404	0.000000	0.000
FBtr0339716	615	444.399	0.064167	0.239
FBtr0085459	600	429.405	69.811656	250.761
FBtr0070973	1218	1047.017	0.228355	2.000
FBtr0089252	2767	2596.017	1.084009	23.540
FBtr0334488	2840	2669.017	1.379779	30.805
FBtr0334489	2902	2731.017	1.014666	23.180
FBtr0100600	3804	3633.017	3.766826	114.475
FBtr0300305	309	138.572	0.000000	0.000
FBtr0077162	567	396.411	0.000000	0.000
FBtr0072277	713	542.348	48.492953	220.000
FBtr0344898	1082	911.017	0.000000	0.000
FBtr0086817	1175	1004.017	0.000000	0.000
FBtr0333271	5146	4975.017	0.368801	15.348
FBtr0072639	5149	4978.017	0.372361	15.506
FBtr0340000	824	653.283	0.622159	3.400
FBtr0087390	427	256.489	282.727500	606.600
FBtr0070472	3021	2850.017	2.201364	52.481
FBtr0331752	4499	4328.017	16.190165	586.147
FBtr0070475	3174	3003.017	6.086196	152.887
FBtr0070474	3218	3047.017	1.173348	29.907
FBtr0302185	2166	1995.017	0.398240	6.646
FBtr0070471	4805	4634.017	8.357177	323.954
FBtr0112828	2903	2732.017	5.693625	130.118
FBtr0301966	3182	3011.017	0.696169	17.535
FBtr0070468	3055	2884.017	9.326460	224.999
FBtr0070476	2745	2574.017	0.566579	12.199
FBtr0070470	3110	2939.017	1.282080	31.520
FBtr0331751	4750	4579.017	0.898568	34.418
FBtr0070469	4244	4073.017	9.150514	311.765
FBtr0070467	2929	2758.017	0.458174	10.570
FBtr0331753	5004	4833.017	0.534840	21.623
FBtr0070466	2847	2676.017	4.014815	89.871
FBtr0070473	3091	2920.017	1.449788	35.412
FBtr0076265	1575	1404.017	49.043701	575.999
FBtr0331935	1030	859.017	0.161443	1.160
FBtr0088237	816	645.290	92.599834	499.840
FBtr0081705	1363	1192.017	0.000000	0.000
FBtr0088524	1299	1128.017	69.098060	652.000
FBtr0074540	843	672.271	19.382767	109.000
FBtr0074494	1357	1186.017	0.302388	3.000
FBtr0085714	3349	3178.017	129.812239	3450.944
FBtr0085713	3440	3269.017	1016.263133	27790.056
FBtr0076256	334	163.561	2.923583	4.000
FBtr0339552	1718	1547.017	11.308821	146.345
FBtr0078950	1533	1362.017	23.229034	264.655
FBtr0070990	1321	1150.017	0.751899	7.233
FBtr0100409	805	634.300	0.725256	3.848
FBtr0343330	706	535.354	105.612864	472.959
FBtr0304902	1617	1446.017	0.041612	0.503
FBtr0304901	2286	2115.017	0.028073	0.497
FBtr0078872	1228	1057.017	0.113097	1.000
FBtr0077839	2112	1941.017	4.011724	65.137
FBtr0077837	2331	2160.017	6.298565	113.806
FBtr0077838	2235	2064.017	6.451428	111.387
FBtr0077836	2325	2154.017	15.687894	282.670
FBtr0075133	4018	3847.017	0.685702	22.066
FBtr0332862	2190	2019.017	4.318404	72.934
FBtr0087988	1754	1583.017	126.116306	1670.025
FBtr0087987	1948	1777.017	383.176160	5695.819
FBtr0074688	1633	1462.017	48.324678	591.000
FBtr0086864	3503	3332.017	11.086264	309.000
FBtr0083361	1283	1112.017	0.000000	0.000
FBtr0392904	4164	3993.017	4.667439	155.900
FBtr0084588	2385	2214.017	42.119112	780.057
FBtr0303161	2639	2468.017	39.397593	813.362
FBtr0079257	1918	1747.017	17.996686	263.000
FBtr0307341	906	735.241	0.052188	0.321
FBtr0084989	527	356.429	0.059532	0.177
FBtr0306309	750	579.329	0.808927	3.920
FBtr0344570	539	368.420	0.025915	0.080
FBtr0078090	1219	1048.017	30.798484	270.000
FBtr0087439	546	375.418	21.971921	69.000
FBtr0070960	2096	1925.017	0.112227	1.807
FBtr0302357	2296	2125.017	0.213114	3.788
FBtr0302356	2428	2257.017	0.180586	3.409
FBtr0340571	3830	3659.017	0.032668	1.000
FBtr0340572	3825	3654.017	0.032720	1.000
FBtr0080267	3305	3134.017	0.000000	0.000
FBtr0077141	787	616.308	0.100988	0.521
FBtr0306593	981	810.181	0.070732	0.479
FBtr0081719	1938	1767.017	63.527064	939.000
FBtr0071549	1655	1484.017	33.591631	417.000
FBtr0308832	1068	897.017	12.238495	91.832
FBtr0308833	2043	1872.017	25.772613	403.584
FBtr0074921	2263	2092.017	3.919118	68.583
FBtr0073011	1996	1825.017	0.000000	0.000
FBtr0112378	450	279.476	0.000000	0.000
FBtr0342602	1596	1425.017	0.216277	2.578
FBtr0080326	1217	1046.017	82.370988	720.741
FBtr0085405	675	504.363	183.693006	775.000
FBtr0339295	331	160.563	0.000000	0.000
FBtr0300316	205	35.308	0.000000	0.000
FBtr0300904	2130	1959.017	0.000000	0.000
FBtr0081633	2196	2025.017	0.000000	0.000
FBtr0300905	2052	1881.017	0.000000	0.000
FBtr0335279	1234	1063.017	0.081412	0.724
FBtr0335281	1199	1028.017	0.085538	0.736
FBtr0290216	733	562.336	0.000000	0.000
FBtr0335280	740	569.332	0.000000	0.000
FBtr0077120	1711	1540.017	16.469923	212.170
FBtr0081676	887	716.242	0.000000	0.000
FBtr0076639	2093	1922.017	0.168144	2.703
FBtr0079280	1148	977.017	0.000000	0.000
FBtr0304827	5797	5626.017	0.082314	3.874
FBtr0433494	6405	6234.017	0.105060	5.479
FBtr0333832	6581	6410.017	0.092286	4.948
FBtr0433497	5654	5483.017	0.094212	4.321
FBtr0333833	6118	5947.017	0.075210	3.741
FBtr0433496	5848	5677.017	0.064924	3.083
FBtr0304826	8410	8239.017	0.082022	5.653
FBtr0433495	8302	8131.017	0.083854	5.703
FBtr0433493	8251	8080.017	0.098609	6.665
FBtr0300808	2019	1848.017	0.000000	0.000
FBtr0300809	4061	3890.017	0.015366	0.500
FBtr0301700	4064	3893.017	0.015354	0.500
FBtr0072287	5108	4937.017	26.369214	1089.000
FBtr0343633	2816	2645.017	8.913177	197.209
FBtr0074281	2640	2469.017	55.398990	1144.174
FBtr0343632	2730	2559.017	1.308855	28.018
FBtr0074279	3898	3727.017	41.255773	1286.211
FBtr0074280	3895	3724.017	2.580379	80.382
FBtr0072238	1035	864.017	0.000000	0.000
FBtr0308073	1317	1146.017	0.829804	7.955
FBtr0082360	764	593.325	78.830714	391.250
FBtr0082361	1024	853.017	1.933350	13.795
FBtr0079938	1428	1257.017	2.853080	30.000
FBtr0077227	1279	1108.017	159.891093	1481.961
FBtr0091702	1278	1107.017	5.403656	50.039
FBtr0074882	2425	2254.017	13.199239	248.870
FBtr0332153	3588	3417.017	2.019375	57.721
FBtr0310476	2042	1871.017	5.823124	91.138
FBtr0100666	2416	2245.017	8.007395	150.375
FBtr0332726	2033	1862.017	3.973875	61.896
FBtr0080287	1089	918.017	15.769206	121.095
FBtr0309307	5887	5716.017	0.054001	2.582
FBtr0300898	5037	4866.017	0.010298	0.419
FBtr0080024	1050	879.017	6.824469	50.180
FBtr0077389	2263	2092.017	84.344170	1476.000
FBtr0290204	1958	1787.017	0.000000	0.000
FBtr0086689	848	677.266	31.913628	180.801
FBtr0306636	1574	1403.017	7.689079	90.241
FBtr0086687	1472	1301.017	21.237002	231.123
FBtr0086690	2195	2024.017	0.612148	10.364
FBtr0086686	1532	1361.017	0.904125	10.293
FBtr0340359	2225	2054.017	1.098684	18.877
FBtr0301148	981	810.181	72.971596	494.541
FBtr0086684	908	737.241	0.251156	1.549
FBtr0306637	2237	2066.017	1.022380	17.669
FBtr0301149	1514	1343.017	1.472435	16.542
FBtr0086600	1106	935.017	6.535449	51.116
FBtr0331978	1118	947.017	15.133367	119.884
FBtr0078769	621	450.395	4403.654527	16591.000
FBtr0070712	1878	1707.017	0.840383	12.000
FBtr0343263	1108	937.017	0.086110	0.675
FBtr0343264	928	757.240	0.124333	0.788
FBtr0072024	920	749.241	0.127167	0.797
FBtr0113111	979	808.182	0.109532	0.740
FBtr0333452	4664	4493.017	0.100828	3.790
FBtr0333450	3996	3825.017	0.075645	2.420
FBtr0333451	4043	3872.017	0.074206	2.403
FBtr0300831	4092	3921.017	0.072764	2.387
FBtr0076303	1640	1469.017	0.910438	11.188
FBtr0076302	1655	1484.017	1.894516	23.518
FBtr0076301	2049	1878.017	46.869003	736.294
FBtr0077098	1123	952.017	80.971967	644.830
FBtr0070552	1047	876.017	0.000000	0.000
FBtr0075818	1346	1175.017	28.792289	283.000
FBtr0088789	1908	1737.017	5.436970	79.000
FBtr0304960	503	332.450	0.000000	0.000
FBtr0075249	843	672.271	0.000000	0.000
FBtr0084104	1804	1633.017	206.439272	2820.000
FBtr0336911	2177	2006.017	12.512524	209.964
FBtr0088974	1597	1426.017	15.544035	185.419
FBtr0100360	4963	4792.017	0.523089	20.968
FBtr0110880	2920	2749.017	0.150473	3.460
FBtr0334105	2225	2054.017	0.285014	4.897
FBtr0301185	2946	2775.017	0.147254	3.418
FBtr0110881	4262	4091.017	1.848447	63.256
FBtr0336928	1138	967.017	0.392281	3.173
FBtr0072107	995	824.166	0.119927	0.827
FBtr0085786	2956	2785.017	10.228708	238.295
FBtr0085785	3082	2911.017	0.939601	22.880
FBtr0334549	2894	2723.017	1.030982	23.484
FBtr0334550	3020	2849.017	0.478837	11.412
FBtr0340191	4545	4374.017	9.176179	335.744
FBtr0073848	4477	4306.017	50.836201	1831.112
FBtr0078387	3371	3200.017	7.267918	194.549
FBtr0087487	2027	1856.017	15.458353	240.000
FBtr0083735	2688	2517.017	0.046841	0.986
FBtr0332539	2448	2277.017	0.053224	1.014
FBtr0077790	977	806.184	0.000000	0.000
FBtr0331440	941	770.237	0.000000	0.000
FBtr0331439	971	800.191	0.000000	0.000
FBtr0082634	1746	1575.017	15.104340	199.000
FBtr0079612	1320	1149.017	6.052513	58.174
FBtr0087980	1799	1628.017	0.000057	0.001
FBtr0087979	1558	1387.017	0.000000	0.000
FBtr0072044	1063	892.017	0.000000	0.000
FBtr0343206	1072	901.017	0.000000	0.000
FBtr0072043	1160	989.017	0.000000	0.000
FBtr0075225	1132	961.017	0.000000	0.000
FBtr0112489	446	275.477	11.348994	26.152
FBtr0339263	740	569.332	0.844238	4.021
FBtr0301018	2276	2105.017	1.192608	21.000
FBtr0302526	640	469.374	4.075065	16.000
FBtr0100009	3280	3109.017	5.344728	139.000
FBtr0089901	2338	2167.017	1.087647	19.716
FBtr0089902	1803	1632.017	0.528196	7.211
FBtr0300562	2617	2446.017	2.887022	59.071
FBtr0089900	2125	1954.017	0.418649	6.843
FBtr0089904	2355	2184.017	0.541103	9.886
FBtr0301521	2467	2296.017	0.812986	15.614
FBtr0089905	2568	2397.017	1.479183	29.659
FBtr0345390	5214	5043.017	0.717150	30.253
FBtr0331425	3556	3385.017	1.090719	30.884
FBtr0332155	4408	4237.017	1.449527	51.375
FBtr0075014	3541	3370.017	0.904129	25.488
FBtr0078874	603	432.404	0.276467	1.000
FBtr0083452	2975	2804.017	10.549150	247.437
FBtr0302317	2262	2091.017	21.071158	368.563
FBtr0333248	2543	2372.017	0.098394	1.952
FBtr0114524	2411	2240.017	0.109280	2.048
FBtr0273385	6171	6000.017	1.776159	89.146
FBtr0339307	6637	6466.017	1.217270	65.840
FBtr0273384	6439	6268.017	2.803905	147.014
FBtr0082117	3807	3636.017	4.018768	122.232
FBtr0082116	6303	6132.017	2.042543	104.771
FBtr0082118	4671	4500.017	2.814167	105.933
FBtr0085011	1569	1398.017	0.085511	1.000
FBtr0081174	4145	3974.017	0.269724	8.966
FBtr0081175	3934	3763.017	0.323496	10.183
FBtr0303241	4041	3870.017	0.666556	21.578
FBtr0081176	3893	3722.017	0.338117	10.527
FBtr0305129	2997	2826.017	6.478203	153.142
FBtr0339156	2994	2823.017	1.958584	46.251
FBtr0339157	2988	2817.017	2.020279	47.607
FBtr0071784	2049	1878.017	1.421534	22.332
FBtr0071785	1989	1818.017	61.328616	932.668
FBtr0089148	3050	2879.017	1.232105	29.673
FBtr0089147	2773	2602.017	3.216986	70.021
FBtr0089150	2762	2591.017	3.187784	69.092
FBtr0089146	2709	2538.017	3.640952	77.299
FBtr0308247	2614	2443.017	20.180654	412.409
FBtr0089149	2840	2669.017	1.097678	24.507
FBtr0302559	2531	2360.017	0.000000	0.000
FBtr0346506	2597	2426.017	0.000000	0.000
FBtr0302190	3048	2877.017	3.294865	79.295
FBtr0086145	3054	2883.017	5.751468	138.705
FBtr0306281	375	204.544	0.000000	0.000
FBtr0306280	392	221.527	0.000000	0.000
FBtr0306258	4812	4641.017	4.686529	181.941
FBtr0073119	3828	3657.017	40.503991	1239.056
FBtr0073120	4106	3935.017	38.837649	1278.397
FBtr0073118	4763	4592.017	42.829598	1645.181
FBtr0337055	3442	3271.017	12.016375	328.793
FBtr0333895	3491	3320.017	62.841806	1745.240
FBtr0337056	4046	3875.017	9.267257	300.394
FBtr0077442	1411	1240.017	4.820324	50.000
FBtr0076018	1266	1095.017	2.633225	24.120
FBtr0076017	963	792.207	7.225211	47.880
FBtr0339781	3357	3186.017	0.450923	12.018
FBtr0070778	3093	2922.017	0.810572	19.813
FBtr0344824	2804	2633.017	8.543392	188.170
FBtr0345292	830	659.280	12.944686	71.388
FBtr0070983	837	666.278	5.072683	28.272
FBtr0070982	1100	929.017	1.792668	13.931
FBtr0070981	941	770.237	103.300306	665.567
FBtr0070980	854	683.259	5744.911989	32834.841
FBtr0307300	2919	2748.017	11.678765	268.462
FBtr0113024	3030	2859.017	1.052540	25.172
FBtr0332600	2913	2742.017	0.408339	9.366
FBtr0083414	2815	2644.017	14.648765	323.990
FBtr0337043	3789	3618.017	1.189841	36.010
FBtr0077516	1338	1167.017	0.204874	2.000
FBtr0112524	1274	1103.017	1.738374	16.040
FBtr0089233	3691	3520.017	2.468527	72.686
FBtr0334626	3376	3205.017	2.136398	57.277
FBtr0310651	3526	3355.017	8.364643	234.751
FBtr0089229	3501	3330.017	11.318592	315.286
FBtr0082920	981	810.181	0.000000	0.000
FBtr0077386	1734	1563.017	19.579887	256.000
FBtr0071106	2301	2130.017	0.056124	1.000
FBtr0070937	2201	2030.017	94.627481	1606.878
FBtr0070938	2487	2316.017	60.449699	1171.122
FBtr0070397	1267	1096.017	0.218146	2.000
FBtr0074346	819	648.288	0.000000	0.000
FBtr0071471	1606	1435.017	0.041655	0.500
FBtr0330316	1609	1438.017	0.041564	0.500
FBtr0074918	1253	1082.017	16.610204	150.340
FBtr0072124	2163	1992.017	23.164780	386.000
FBtr0071683	1189	1018.017	63.764462	543.000
FBtr0077403	1061	890.017	0.102369	0.762
FBtr0113021	1089	918.017	0.097181	0.746
FBtr0077402	1231	1060.017	0.078185	0.693
FBtr0077401	1011	840.017	0.113611	0.798
FBtr0300280	1584	1413.017	0.000000	0.000
FBtr0346378	3461	3290.017	0.476108	13.103
FBtr0074809	2896	2725.017	20.347609	463.819
FBtr0335137	3353	3182.017	0.581899	15.489
FBtr0346141	373	202.545	0.001787	0.003
FBtr0085611	272	101.598	12.939608	10.997
FBtr0074029	585	414.407	0.000000	0.000
