Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.728	0	0
FBgn0267873	257	79.861	0	0
FBgn0267896	719	541.54	0.000307	0.001
FBgn0260225	1197	1019.14	0	0
FBgn0040928	1085	907.143	4.26173	26
FBgn0262789	532	354.637	0.83856	2
FBgn0058461	391	213.772	0.000915	0.001
FBgn0042701	620	442.598	0.006932	0.021
FBgn0263493	352	174.797	0.000766	0.001
FBgn0265917	359	181.794	0	0
FBgn0262163	610	432.605	0.687427	2
FBgn0085831	237	60.085	0	0
FBgn0267108	321	143.813	0.000928	0.001
FBgn0051032	770	592.517	13.0494	52
FBgn0266102	391	213.772	0.004175	0.006
FBgn0053867	526	348.642	0.986287	2.313
FBgn0267026	323	145.812	0	0
FBgn0267519	2689	2511.14	3551.3	59975
FBgn0058005	1227	1049.14	0.172765	1.219
FBgn0039979	803	625.496	7.01797	29.522
FBgn0053318	523	345.643	0	0
FBgn0053805	440	262.711	0.006364	0.011
FBgn0267419	780	602.511	0	0
FBgn0267892	760	582.521	0	0
FBgn0267902	582	404.618	0	0
FBgn0262964	777	599.514	0.496043	2
FBgn0085790	1041	863.143	0.332473	1.93
FBgn0267879	601	423.607	0	0
FBgn0085291	1130	952.143	0.144163	0.923
FBgn0263093	1195.9	1018.04	24.8865	170.389
FBgn0267952	1290	1112.14	0	0
FBgn0030117	636	458.579	0.088986	0.274
FBgn0058182	291	113.83	0	0
FBgn0052518	75	26.553	5.59976	1
FBgn0027934	1345	1167.14	0	0
FBgn0085340	423	245.728	0	0
FBgn0263744	845	667.459	0	0
FBgn0263210	221	45.562	0	0
FBtr0346869	123	58.464	3.10214	1.22
FBgn0267427	697	519.547	0	0
FBgn0263975	1131	953.143	3.58805	23
FBgn0267869	420	242.733	0.00022	0
FBgn0037560	956.769	779.175	47.8991	251
FBgn0263212	220	44.737	0	0
FBgn0085732	1478.87	1301.02	71.7748	628.01
FBgn0267593	610	432.605	0	0
FBgn0058100	394	216.767	7.59255	11.069
FBgn0264888	465	287.689	1.0337	2
FBgn0037143	1446	1268.14	0.234504	2
FBgn0262510	501	323.661	5.01769	10.922
FBgn0263771	276	98.842	0	0
FBgn0053315	421	243.731	0.610066	1
FBgn0050029	480	302.689	0	0
FBgn0085791	1041	863.143	0.037644	0.219
FBgn0085804	252	74.873	0	0
FBgn0267876	766	588.518	0	0
FBgn0267494	656	478.562	0	0
FBgn0085792	1211	1033.14	1.78444	12.399
FBgn0053013	2636	2458.14	0	0
FBgn0266211	1668	1490.14	1.29719	13
FBgn0265141	1303	1125.14	0	0
FBgn0051292	451.92	274.62	2.78407	5.142
FBgn0053294	1947.99	1770.13	2.85602	34
FBgn0000280	166	25.589	5.81074	1
FBgn0262885	102	43.67	0	0
FBgn0011812	456	278.696	0	0
FBgn0265533	403.316	226.064	0.000516	0.001
FBgn0052496	778	600.513	1.0497	4.239
FBgn0052009	3001.05	2823.19	1.3055	24.787
FBtr0347033	1076	898.143	0	0
FBgn0262688	493	315.667	0.471041	1
FBgn0053222	548.609	371.24	1.53805	3.84
FBgn0266940	581	403.618	0	0
FBgn0262565	802	624.497	0	0
FBgn0263002	361	183.793	0.809021	1
FBgn0084049	531	353.637	15.7661	37.497
FBgn0263211	352	174.797	0.000737	0.001
FBgn0267872	775	597.514	0	0
FBgn0262031	330	152.809	30.522	31.367
FBgn0267014	274	96.844	6.18136	4.026
FBgn0039987	184	23.562	0	0
FBgn0261640	810	632.489	1.40779	5.988
FBgn0052761	71	24.216	0	0
FBgn0267863	274	96.844	0	0
FBgn0052034	74	25.971	0	0
FBgn0262795	735	557.534	0	0
FBgn0261856	450	272.7	1.09052	2
FBgn0051485	73	25.383	0	0
FBgn0267610	864	686.438	0	0
FBgn0262851	1188	1010.14	12.5539	85.285
FBgn0053416	143	62.327	6.87397	2.881
FBgn0267520	357	179.795	4.23834	5.125
FBgn0085765	30	5.385	0	0
FBgn0267424	659	481.561	0	0
FBgn0030116	1305	1127.14	0.13192	1
FBgn0031135	363	185.792	0	0
FBgn0263213	224	48.105	0	0
FBgn0267878	266	88.85	0	0
FBgn0058441	177	22.433	0	0
FBgn0267864	485	307.672	0	0
