"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBgn0000071",176.874363320877,140.758295865922,146.794697058067,575.648028073446,613.780471049886,658.678213750958,2.18817552371931e-06,1.99980304765703,3.94543127245102e-09,3.99945396942714,5.65991784416433
"FBgn0025111",744.495399842046,559.020849754355,534.913300433028,2636.26462254836,2949.33291300626,3016.00163301618,2.54645201578279e-06,2.23993562090153,5.75595472252625e-09,4.72375984705508,5.59406450306412
"FBgn0029002",1219.66211054677,1142.28655661781,1280.49115082149,2538.06097631124,2428.88200133298,2547.15152269357,2.54645201578279e-06,1.04604721649765,6.4299417669473e-09,2.06486464871415,5.59406450306412
"FBgn0262733",198.099970893535,231.303374909078,197.864871872973,658.597874038823,651.995823234147,588.083694154614,2.72638346968811e-06,1.59996464356571,7.65557560771903e-09,3.03135884195442,5.56441306007251
"FBgn0001226",953.093320198912,838.102898077964,1012.72295226447,2253.9286382741,2252.17143843927,2412.71596217154,3.49127025050503e-06,1.30687301471961,1.06973994072926e-08,2.47404718342127,5.45701653223413
"FBgn0011260",90.7303972694716,109.546879689796,106.889199719548,355.026956507759,335.540721229393,314.900416779129,3.94756245935622e-06,1.71619403419639,1.53805164426702e-08,3.28568467900959,5.40367098974547
"FBgn0051092",85.3828480663041,76.0258448455249,67.3825636948391,255.164152666065,275.365915844635,278.391830059176,3.94756245935622e-06,1.82791300829683,1.53093288881191e-08,3.5502312705877,5.40367098974547
"FBgn0032405",39.4363048208263,38.7060991695105,36.0898355330616,140.274454882495,139.104480082473,148.874734513202,3.94756245935622e-06,1.90488168323065,1.58089964057874e-08,3.74478186408194,5.40367098974547
"FBgn0031150",551.962953811153,598.388860869242,569.155092780029,1227.04339286999,1092.96358101371,1148.67169570554,4.41344849034359e-06,1.01242145277233,2.26303060181212e-08,2.01729413343662,5.35522193772739
"FBgn0283437",4246.676172525,3970.20226870301,4031.69930327834,8747.21668369253,10003.6771617116,8328.59683247694,6.24748563641089e-06,1.14112349561536,3.43226533559382e-08,2.20552711258467,5.20429473368645
"FBgn0261673",20.5012383801276,29.5287951558744,21.6154804176226,122.776265875433,119.565303360491,117.120924598897,7.20267046888853e-06,2.34663319713665,4.58108782613525e-08,5.08635866416116,5.14250645428024
"FBgn0265276",94.2881125276789,108.560263180636,91.8181589183694,269.556110656497,261.70678564011,241.909535410396,1.02856757284576e-05,1.39499681963234,7.78551941355598e-08,2.62987972293152,4.98776717159197
"FBgn0037290",19.479810099268,28.8547553145793,29.7340073371892,136.68659696342,124.015294390907,124.209087822869,1.19498840051837e-05,2.33469618278076,9.77465789704933e-08,5.04444721307576,4.92263631029351
"FBgn0039479",123.332538133406,120.112991105539,110.628564282544,248.931526803277,275.898355628877,271.18198188471,1.51779216998215e-05,1.16952698923111,1.35268988412522e-07,2.24937935327172,4.81878769195122
"FBgn0037153",77.8762904157117,92.4884970690074,76.5967717423682,219.917981663359,210.823124590652,197.069280587442,1.98728322511406e-05,1.35190236758466,2.03799036637262e-07,2.55248479589254,4.70174023337401
"FBgn0260011",49.6747028651715,35.2721389496301,51.642113327529,145.704017640274,164.783975537817,163.323612639335,3.01402086006736e-05,1.81198518458379,3.64287712302122e-07,3.51125113228816,4.5208537462547
"FBgn0001225",293.06181819307,258.678708286631,304.433345496293,584.032025112756,574.125395034473,680.144431263963,3.22007331446677e-05,1.10121816888408,4.20641978571535e-07,2.14535763683967,4.49213424019675
"FBgn0034885",105.727471036899,113.048851867282,85.4399538731255,237.555906869879,250.099779593757,271.159772470368,3.61186649211945e-05,1.32836491523117,5.15917933802925e-07,2.51117907978626,4.4422683111845
"FBgn0033065",12.5589334283927,11.6211792038368,14.226218292836,54.9038029198299,61.8831926566276,51.5488195652812,3.35354538037398e-05,2.12926135341039,4.42171775217178e-07,4.37493430541485,4.47449581238501
"FBgn0034438",39.6898968694027,42.5155492451482,46.912664465624,124.307748382005,127.447090885099,107.435333948779,4.09212535723606e-05,1.48088435657648,6.38798379339955e-07,2.79119778268804,4.38805107067786
"FBgn0001224",401.486346522209,332.112174368034,439.494642496746,874.965317916498,844.919960150595,987.992891470029,3.67934328053198e-05,1.21354745757476,5.30048232331551e-07,2.31907175194454,4.43422969086259
"FBgn0261284",24.3561898987527,22.602149352983,24.3297108866305,84.9552240388997,76.921342152326,102.131441780385,4.41990543881582e-05,1.87589324949125,7.93219508614243e-07,3.67028794059385,4.35458702201738
"FBgn0024984",86.9527528753418,71.1930367280563,80.6212568846626,167.744025528699,186.243252912169,193.386617330969,4.66754433951277e-05,1.1981961921899,8.61833937723803e-07,2.29452605998071,4.33091154776255
"FBgn0035189",117.929827492624,89.4427285275306,66.3168597892088,358.08643326581,474.666494672798,372.893871849409,4.79512312939319e-05,2.16575611332202,8.95682869975776e-07,4.48701533091964,4.31920023651637
"FBgn0035727",46.1703950388923,45.6602684994889,38.74127884258,101.608339844245,108.327943506141,108.498490196912,5.15985905044865e-05,1.28909637639839,1.00160858139584e-06,2.44374944775911,4.28736216163799
"FBgn0038528",96.3157585121498,116.357816120211,111.01921654868,254.217705796313,215.091212300901,248.26156434961,5.96804067709387e-05,1.14737797717302,1.21677791853824e-06,2.215109437917,4.22416822545208
"FBgn0051642",60.1294480267585,71.043883325131,46.76854063374,170.871037161961,197.70294427658,163.418169737927,7.22591017082095e-05,1.59826525968855,1.62712554956256e-06,3.02779023640348,4.14110744168292
"FBgn0033775",23.7723653640994,23.2229152561034,31.1209401993083,79.2440395310664,81.7573492256993,72.2417792030978,7.36775502682017e-05,1.58252589457264,1.6730587657045e-06,2.99493749625627,4.13266482258712
"FBgn0250904",20.5047661911642,21.0959202190662,19.3535616788695,52.7027740962383,55.6063383018954,55.6914285739387,7.91056959970971e-05,1.40881433219669,1.83495082889128e-06,2.65518858497708,4.10179224404916
"FBgn0030598",18.0371848765057,18.6778789008234,22.1827035298899,66.536975976669,71.0816536465987,56.2955586471857,8.45853196501563e-05,1.7057000023432,2.01369031031382e-06,3.26187162099198,4.07270500514255
"FBgn0020248",20.024001472091,21.673101955802,16.4655382626308,56.3830111281484,56.1347809826737,63.1427080375638,8.55161293643721e-05,1.59777602419055,2.05937785702691e-06,3.02676364985074,4.06795196441453
"FBgn0034391",45.2639216798273,49.8443911003955,38.5492347532599,97.5491891743766,99.828767941363,101.719635519431,0.000116138896982489,1.17075744724305,3.11934529802803e-06,2.25129864141129,3.93502230295134
"FBgn0035710",9.19447636754656,8.27059800136496,10.0109644622252,28.9894121904895,28.2561050589322,29.1698536327006,0.000123481390160226,1.65253251929236,3.43715748462112e-06,3.14385029245975,3.90839848985145
"FBgn0063667",5.89110144425559,3.03285111198026,6.47575500875569,22.2765857196303,23.6429551580406,26.2594120546377,0.000137834990935036,2.26658952751787,4.10593795484663e-06,4.81184285406623,3.86064051798023
"FBgn0052625",86.6983444846868,87.6364484352388,125.13225821791,253.559209588391,220.707516170442,224.626399402501,0.00016689317189486,1.24466849214724,5.21604834636603e-06,2.36964097436909,3.77756143125991
"FBgn0033724",92.630235078259,79.7861980104474,115.424511556838,218.509700279806,202.443019707368,249.611830987342,0.000193166305292647,1.2332621907346,6.508839001437e-06,2.35097987750315,3.71406862689402
"FBgn0033368",53.8352702491723,43.4634537890323,47.7458880385949,92.1720688630057,99.6832395859865,99.8408084555364,0.000211817667736317,1.01434258204731,7.60278284879467e-06,2.01998220277725,3.67403781816442
"FBgn0038198",33.3723094119071,34.7412085892806,19.2445619274055,101.827746859946,96.3320227854055,129.118566494331,0.000222387404583149,1.93566960371018,8.16071455984539e-06,3.82555642890354,3.65288981364996
"FBgn0263232",403.553613521896,537.679863046385,446.705799687696,1069.55760514198,948.32414974239,839.321659758871,0.000178519999215157,1.04459234072004,5.77558293151223e-06,2.06278339991059,3.74831312374083
"FBgn0033367",13117.3599787788,10321.437237418,10209.6079669336,20831.4390781414,27415.1924458052,22870.0224683411,0.000214497279920085,1.0803490116182,7.7459435176825e-06,2.11454756302688,3.66857821081347
